essround,idno,gndr,hincfel,grdfinc,gvctzpv,cntry
10,10021,Mees,Coping on present income,10,NA,EE
10,10029,Mees,Coping on present income,3,6,EE
10,10037,Mees,Coping on present income,8,8,EE
10,10047,Mees,Living comfortably on present income,8,8,EE
10,10058,Naine,Coping on present income,8,7,EE
10,10084,Naine,Difficult on present income,10,10,EE
10,10087,Naine,Coping on present income,10,10,EE
10,10129,Naine,Difficult on present income,10,10,EE
10,10151,Mees,Living comfortably on present income,7,8,EE
10,10204,Mees,Coping on present income,8,6,EE
10,10211,Naine,Coping on present income,0,10,EE
10,10228,Mees,Difficult on present income,5,5,EE
10,10229,Naine,Coping on present income,5,5,EE
10,10253,Mees,Difficult on present income,10,10,EE
10,10257,Naine,Coping on present income,10,10,EE
10,10272,Mees,Living comfortably on present income,9,10,EE
10,10284,Mees,Coping on present income,3,5,EE
10,10287,Naine,Living comfortably on present income,5,7,EE
10,10290,Mees,Coping on present income,8,8,EE
10,10336,Naine,Coping on present income,9,9,EE
10,10353,Naine,Coping on present income,7,8,EE
10,10357,Naine,Coping on present income,3,2,EE
10,10370,Mees,Coping on present income,10,9,EE
10,10371,Mees,Very difficult on present income,9,9,EE
10,10377,Mees,Difficult on present income,0,10,EE
10,10378,Mees,Living comfortably on present income,10,10,EE
10,10384,Naine,Difficult on present income,7,9,EE
10,10385,Naine,Coping on present income,7,7,EE
10,10391,Mees,Living comfortably on present income,3,4,EE
10,10407,Naine,Living comfortably on present income,9,10,EE
10,10431,Mees,Coping on present income,6,8,EE
10,10433,Mees,Coping on present income,6,10,EE
10,10440,Mees,Living comfortably on present income,10,10,EE
10,10451,Naine,Difficult on present income,9,9,EE
10,10456,Naine,Living comfortably on present income,2,10,EE
10,10468,Mees,Coping on present income,5,6,EE
10,10498,Naine,Coping on present income,7,NA,EE
10,10499,Naine,Coping on present income,10,8,EE
10,10503,Naine,Living comfortably on present income,8,8,EE
10,10554,Mees,Coping on present income,8,8,EE
10,10563,Naine,Living comfortably on present income,6,10,EE
10,10568,Mees,Coping on present income,8,9,EE
10,10591,Mees,Living comfortably on present income,9,9,EE
10,10594,Naine,Living comfortably on present income,9,10,EE
10,10600,Naine,Coping on present income,6,6,EE
10,10620,Naine,Coping on present income,10,10,EE
10,10636,Naine,Coping on present income,9,9,EE
10,10659,Mees,Living comfortably on present income,7,6,EE
10,10686,Mees,Coping on present income,3,7,EE
10,10697,Mees,Coping on present income,4,5,EE
10,10700,Mees,Very difficult on present income,6,8,EE
10,10711,Mees,Coping on present income,10,10,EE
10,10718,Mees,Living comfortably on present income,8,10,EE
10,10736,Mees,Living comfortably on present income,10,10,EE
10,10752,Mees,Living comfortably on present income,3,6,EE
10,10764,Mees,Coping on present income,10,10,EE
10,10796,Naine,Living comfortably on present income,6,8,EE
10,10797,Naine,Coping on present income,5,5,EE
10,10810,Mees,Difficult on present income,10,10,EE
10,10823,Naine,Coping on present income,8,3,EE
10,10835,Naine,Difficult on present income,6,10,EE
10,10844,Mees,Coping on present income,7,7,EE
10,10845,Naine,Coping on present income,9,9,EE
10,10863,Mees,Coping on present income,10,10,EE
10,10878,Naine,Difficult on present income,10,10,EE
10,10918,Naine,Living comfortably on present income,4,4,EE
10,10922,Mees,Living comfortably on present income,7,10,EE
10,10933,Naine,Living comfortably on present income,10,6,EE
10,10941,Mees,Living comfortably on present income,4,2,EE
10,10942,Mees,Coping on present income,6,6,EE
10,10950,Naine,Coping on present income,10,10,EE
10,10951,Naine,Coping on present income,6,9,EE
10,10954,Naine,Difficult on present income,10,10,EE
10,10965,Mees,Coping on present income,10,10,EE
10,10990,Naine,Coping on present income,10,10,EE
10,10991,Mees,Coping on present income,5,5,EE
10,11004,Mees,Coping on present income,2,4,EE
10,11024,Naine,Living comfortably on present income,10,3,EE
10,11059,Naine,Living comfortably on present income,8,8,EE
10,11076,Mees,Coping on present income,6,8,EE
10,11078,Naine,Coping on present income,6,9,EE
10,11087,Naine,Difficult on present income,9,9,EE
10,11102,Mees,Coping on present income,8,9,EE
10,11109,Mees,Coping on present income,9,10,EE
10,11110,Mees,Difficult on present income,5,9,EE
10,11115,Mees,Living comfortably on present income,4,2,EE
10,11149,Mees,Living comfortably on present income,7,10,EE
10,11151,Mees,Living comfortably on present income,10,4,EE
10,11155,Naine,Coping on present income,8,10,EE
10,11157,Naine,Coping on present income,8,9,EE
10,11168,Naine,Living comfortably on present income,5,5,EE
10,11184,Naine,Coping on present income,10,10,EE
10,11191,Mees,Living comfortably on present income,6,6,EE
10,11212,Mees,Coping on present income,10,10,EE
10,11214,Naine,Difficult on present income,8,10,EE
10,11238,Naine,Difficult on present income,8,10,EE
10,11244,Mees,Coping on present income,10,10,EE
10,11277,Mees,Living comfortably on present income,2,6,EE
10,11278,Mees,Coping on present income,8,8,EE
10,11304,Mees,Coping on present income,10,10,EE
10,11307,Naine,Coping on present income,5,5,EE
10,11310,Naine,Difficult on present income,10,10,EE
10,11318,Naine,Coping on present income,10,10,EE
10,11326,Naine,Coping on present income,9,10,EE
10,11331,Naine,Coping on present income,10,10,EE
10,11338,Mees,Very difficult on present income,9,9,EE
10,11340,Mees,Living comfortably on present income,8,7,EE
10,11376,Naine,Coping on present income,7,5,EE
10,11380,Mees,Coping on present income,10,10,EE
10,11393,Naine,Coping on present income,10,10,EE
10,11426,Mees,Coping on present income,7,8,EE
10,11430,Mees,Living comfortably on present income,7,7,EE
10,11436,Mees,Coping on present income,5,8,EE
10,11438,Naine,Living comfortably on present income,5,8,EE
10,11439,Naine,Coping on present income,5,9,EE
10,11461,Naine,Difficult on present income,10,10,EE
10,11462,Mees,Coping on present income,10,8,EE
10,11489,Mees,Coping on present income,4,9,EE
10,11501,Naine,Coping on present income,9,8,EE
10,11506,Naine,Coping on present income,10,10,EE
10,11514,Naine,Coping on present income,8,9,EE
10,11516,Naine,Coping on present income,7,6,EE
10,11533,Mees,Living comfortably on present income,6,6,EE
10,11549,Mees,Living comfortably on present income,6,10,EE
10,11567,Naine,Coping on present income,7,7,EE
10,11568,Naine,Coping on present income,8,8,EE
10,11579,Naine,Very difficult on present income,10,10,EE
10,11581,Naine,Living comfortably on present income,6,7,EE
10,11589,Mees,Coping on present income,9,8,EE
10,11631,Naine,Difficult on present income,10,10,EE
10,11645,Naine,Living comfortably on present income,10,8,EE
10,11676,Naine,Coping on present income,8,8,EE
10,11683,Mees,Living comfortably on present income,10,10,EE
10,11690,Naine,Coping on present income,10,10,EE
10,11706,Naine,Coping on present income,0,10,EE
10,11713,Mees,Coping on present income,8,6,EE
10,11727,Naine,Coping on present income,7,7,EE
10,11731,Naine,Difficult on present income,7,8,EE
10,11743,Mees,Living comfortably on present income,3,3,EE
10,11749,Naine,Coping on present income,10,10,EE
10,11790,Mees,Very difficult on present income,10,10,EE
10,11791,Naine,Living comfortably on present income,9,9,EE
10,11792,Naine,Coping on present income,8,8,EE
10,11794,Naine,Coping on present income,9,9,EE
10,11798,Mees,Living comfortably on present income,10,10,EE
10,11800,Mees,Coping on present income,10,10,EE
10,11802,Mees,Coping on present income,2,2,EE
10,11815,Naine,Difficult on present income,7,9,EE
10,11827,Naine,Coping on present income,9,9,EE
10,11830,Mees,Coping on present income,7,7,EE
10,11863,Naine,Difficult on present income,8,9,EE
10,11875,Naine,Living comfortably on present income,8,10,EE
10,11876,Mees,Coping on present income,NA,NA,EE
10,11882,Mees,Living comfortably on present income,2,5,EE
10,11894,Mees,Coping on present income,6,10,EE
10,11929,Mees,Coping on present income,9,8,EE
10,11932,Naine,Living comfortably on present income,7,7,EE
10,11937,Naine,Living comfortably on present income,7,8,EE
10,11960,Mees,Coping on present income,5,6,EE
10,11964,Naine,Difficult on present income,10,10,EE
10,11980,Naine,Coping on present income,9,10,EE
10,11981,Naine,Coping on present income,10,10,EE
10,11990,Naine,Very difficult on present income,10,10,EE
10,11992,Naine,Coping on present income,7,7,EE
10,11997,Naine,Living comfortably on present income,8,8,EE
10,12005,Naine,Coping on present income,10,10,EE
10,12015,Naine,Very difficult on present income,10,10,EE
10,12033,Naine,Coping on present income,5,5,EE
10,12035,Mees,Living comfortably on present income,9,9,EE
10,12041,Naine,Coping on present income,10,10,EE
10,12055,Naine,Living comfortably on present income,8,8,EE
10,12065,Naine,Coping on present income,9,10,EE
10,12074,Naine,Coping on present income,10,10,EE
10,12076,Mees,Difficult on present income,9,9,EE
10,12085,Mees,Difficult on present income,5,7,EE
10,12100,Naine,Coping on present income,5,8,EE
10,12121,Naine,Difficult on present income,10,10,EE
10,12135,Naine,Coping on present income,9,10,EE
10,12146,Mees,Living comfortably on present income,8,5,EE
10,12147,Naine,Living comfortably on present income,10,10,EE
10,12152,Mees,Difficult on present income,7,6,EE
10,12183,Mees,Coping on present income,9,7,EE
10,12192,Mees,Living comfortably on present income,6,7,EE
10,12206,Naine,Living comfortably on present income,7,8,EE
10,12210,Mees,Coping on present income,8,10,EE
10,12227,Naine,Living comfortably on present income,6,7,EE
10,12252,Naine,Coping on present income,7,7,EE
10,12267,Naine,Coping on present income,8,8,EE
10,12282,Mees,Living comfortably on present income,6,10,EE
10,12283,Naine,Living comfortably on present income,8,8,EE
10,12287,Naine,Living comfortably on present income,7,8,EE
10,12321,Mees,Difficult on present income,10,10,EE
10,12328,Mees,Coping on present income,7,6,EE
10,12340,Naine,Difficult on present income,8,8,EE
10,12342,Naine,Coping on present income,10,10,EE
10,12351,Naine,Coping on present income,10,8,EE
10,12381,Naine,Coping on present income,5,2,EE
10,12391,Naine,Coping on present income,10,10,EE
10,12413,Mees,Coping on present income,5,5,EE
10,12428,Naine,Difficult on present income,10,10,EE
10,12455,Naine,Coping on present income,9,5,EE
10,12463,Naine,Living comfortably on present income,4,6,EE
10,12469,Mees,Living comfortably on present income,10,10,EE
10,12486,Naine,Very difficult on present income,10,10,EE
10,12509,Naine,Difficult on present income,10,10,EE
10,12541,Mees,Coping on present income,10,10,EE
10,12543,Mees,Difficult on present income,2,3,EE
10,12548,Naine,Coping on present income,7,6,EE
10,12553,Mees,Coping on present income,9,9,EE
10,12554,Mees,Coping on present income,10,10,EE
10,12581,Mees,Coping on present income,8,8,EE
10,12593,Mees,Living comfortably on present income,1,1,EE
10,12603,Mees,Coping on present income,10,10,EE
10,12613,Naine,Living comfortably on present income,4,3,EE
10,12632,Mees,Coping on present income,9,8,EE
10,12654,Mees,Coping on present income,7,10,EE
10,12666,Naine,Living comfortably on present income,5,5,EE
10,12692,Naine,Difficult on present income,7,7,EE
10,12695,Naine,Living comfortably on present income,10,10,EE
10,12709,Naine,Coping on present income,5,10,EE
10,12718,Naine,Living comfortably on present income,9,10,EE
10,12726,Mees,Living comfortably on present income,10,10,EE
10,12730,Mees,Living comfortably on present income,10,10,EE
10,12750,Naine,Living comfortably on present income,4,5,EE
10,12753,Naine,Living comfortably on present income,9,9,EE
10,12790,Naine,Coping on present income,9,4,EE
10,12802,Mees,Coping on present income,10,10,EE
10,12809,Mees,Difficult on present income,6,6,EE
10,12818,Mees,Living comfortably on present income,10,6,EE
10,12823,Mees,Coping on present income,10,10,EE
10,12827,Naine,Coping on present income,9,10,EE
10,12834,Mees,Coping on present income,6,6,EE
10,12855,Naine,Coping on present income,9,9,EE
10,12857,Naine,Coping on present income,6,7,EE
10,12860,Mees,Living comfortably on present income,7,8,EE
10,12879,Naine,Living comfortably on present income,7,7,EE
10,12885,Naine,Coping on present income,10,10,EE
10,12889,Naine,Coping on present income,10,10,EE
10,12892,Naine,Living comfortably on present income,7,8,EE
10,12898,Naine,Living comfortably on present income,6,6,EE
10,12923,Naine,Coping on present income,10,10,EE
10,12926,Naine,Difficult on present income,10,10,EE
10,12941,Naine,Coping on present income,7,10,EE
10,12957,Mees,Coping on present income,10,10,EE
10,12967,Naine,Living comfortably on present income,7,6,EE
10,12985,Naine,Living comfortably on present income,6,6,EE
10,13002,Mees,Coping on present income,0,9,EE
10,13013,Mees,Living comfortably on present income,5,5,EE
10,13050,Naine,Coping on present income,9,9,EE
10,13071,Naine,Coping on present income,9,7,EE
10,13073,Naine,Living comfortably on present income,8,10,EE
10,13096,Naine,Coping on present income,8,10,EE
10,13101,Mees,Living comfortably on present income,7,8,EE
10,13113,Mees,Coping on present income,10,10,EE
10,13120,Mees,Coping on present income,5,9,EE
10,13130,Naine,Difficult on present income,10,10,EE
10,13132,Naine,Living comfortably on present income,4,2,EE
10,13152,Mees,Coping on present income,10,10,EE
10,13181,Mees,Coping on present income,4,5,EE
10,13183,Mees,Living comfortably on present income,10,10,EE
10,13194,Mees,Coping on present income,10,10,EE
10,13204,Naine,Living comfortably on present income,7,3,EE
10,13211,Mees,Living comfortably on present income,10,10,EE
10,13212,Naine,Difficult on present income,NA,NA,EE
10,13239,Naine,Living comfortably on present income,10,10,EE
10,13249,Mees,Coping on present income,10,10,EE
10,13256,Naine,Coping on present income,9,8,EE
10,13273,Mees,Living comfortably on present income,10,9,EE
10,13279,Mees,Coping on present income,6,6,EE
10,13293,Naine,Difficult on present income,10,10,EE
10,13296,Mees,Coping on present income,5,5,EE
10,13306,Mees,Coping on present income,10,10,EE
10,13347,Naine,Difficult on present income,8,9,EE
10,13349,Naine,Coping on present income,9,10,EE
10,13368,Naine,Coping on present income,8,9,EE
10,13369,Naine,Coping on present income,7,7,EE
10,13376,Naine,Coping on present income,10,10,EE
10,13383,Naine,Coping on present income,7,8,EE
10,13401,Mees,Coping on present income,6,9,EE
10,13414,Mees,Difficult on present income,10,10,EE
10,13422,Mees,Coping on present income,10,10,EE
10,13428,Naine,Coping on present income,8,8,EE
10,13431,Naine,Coping on present income,7,7,EE
10,13445,Naine,Coping on present income,4,8,EE
10,13449,Naine,Living comfortably on present income,10,10,EE
10,13457,Mees,Living comfortably on present income,9,9,EE
10,13481,Mees,Coping on present income,7,8,EE
10,13482,Mees,Coping on present income,6,6,EE
10,13499,Mees,Coping on present income,5,7,EE
10,13507,Mees,Coping on present income,10,10,EE
10,13509,Mees,Coping on present income,10,10,EE
10,13529,Naine,Coping on present income,8,8,EE
10,13543,Mees,Coping on present income,7,10,EE
10,13546,Mees,Living comfortably on present income,7,8,EE
10,13549,Naine,Living comfortably on present income,0,0,EE
10,13564,Mees,Living comfortably on present income,10,10,EE
10,13570,Mees,Coping on present income,5,8,EE
10,13576,Mees,Very difficult on present income,5,6,EE
10,13583,Mees,Living comfortably on present income,8,2,EE
10,13599,Naine,Coping on present income,7,10,EE
10,13624,Mees,Coping on present income,8,9,EE
10,13626,Mees,Coping on present income,5,10,EE
10,13631,Naine,Coping on present income,7,7,EE
10,13640,Mees,Difficult on present income,10,10,EE
10,13645,Mees,Difficult on present income,7,10,EE
10,13681,Naine,Difficult on present income,6,6,EE
10,13685,Mees,Living comfortably on present income,8,9,EE
10,13686,Mees,Difficult on present income,5,8,EE
10,13693,Mees,Difficult on present income,8,7,EE
10,13696,Naine,Living comfortably on present income,8,8,EE
10,13716,Mees,Coping on present income,8,10,EE
10,13730,Mees,Coping on present income,9,10,EE
10,13731,Naine,Coping on present income,7,10,EE
10,13735,Naine,Coping on present income,5,10,EE
10,13750,Naine,Coping on present income,10,10,EE
10,13765,Naine,Coping on present income,10,10,EE
10,13792,Naine,Living comfortably on present income,8,6,EE
10,13800,Mees,Living comfortably on present income,5,10,EE
10,13817,Naine,Difficult on present income,8,9,EE
10,13826,Naine,Living comfortably on present income,8,8,EE
10,13842,Mees,Living comfortably on present income,8,6,EE
10,13844,Naine,Difficult on present income,6,10,EE
10,13845,Naine,Coping on present income,8,8,EE
10,13859,Mees,Coping on present income,9,5,EE
10,13879,Mees,Coping on present income,6,6,EE
10,13900,Naine,Living comfortably on present income,5,5,EE
10,13903,Naine,Very difficult on present income,2,7,EE
10,13904,Mees,Living comfortably on present income,6,0,EE
10,13906,Naine,Coping on present income,4,7,EE
10,13911,Naine,Coping on present income,9,9,EE
10,13921,Naine,Coping on present income,7,7,EE
10,13925,Naine,Living comfortably on present income,1,6,EE
10,13949,Mees,Living comfortably on present income,7,8,EE
10,13955,Naine,Very difficult on present income,8,9,EE
10,13958,Naine,Coping on present income,7,9,EE
10,13966,Naine,Coping on present income,6,5,EE
10,13968,Naine,Coping on present income,8,6,EE
10,13984,Mees,Coping on present income,10,10,EE
10,13986,Naine,Coping on present income,10,8,EE
10,13990,Naine,Coping on present income,8,8,EE
10,14009,Mees,Coping on present income,8,7,EE
10,14022,Naine,Living comfortably on present income,9,9,EE
10,14034,Mees,Coping on present income,6,10,EE
10,14054,Naine,Coping on present income,10,10,EE
10,14061,Mees,Very difficult on present income,10,10,EE
10,14068,Naine,Coping on present income,7,8,EE
10,14071,Mees,Living comfortably on present income,8,5,EE
10,14093,Mees,Coping on present income,7,10,EE
10,14141,Naine,Coping on present income,10,10,EE
10,14146,Naine,Living comfortably on present income,2,3,EE
10,14153,Mees,Coping on present income,4,10,EE
10,14167,Naine,Living comfortably on present income,7,9,EE
10,14171,Mees,Coping on present income,7,9,EE
10,14178,Mees,Living comfortably on present income,5,2,EE
10,14184,Mees,Coping on present income,5,8,EE
10,14189,Naine,Living comfortably on present income,5,5,EE
10,14193,Mees,Coping on present income,9,3,EE
10,14215,Naine,Living comfortably on present income,6,6,EE
10,14226,Naine,Coping on present income,6,6,EE
10,14228,Mees,Coping on present income,6,6,EE
10,14245,Naine,Very difficult on present income,7,1,EE
10,14255,Mees,Coping on present income,8,8,EE
10,14258,Mees,Living comfortably on present income,6,8,EE
10,14268,Naine,Coping on present income,10,9,EE
10,14274,Mees,Coping on present income,7,8,EE
10,14291,Naine,Coping on present income,7,8,EE
10,14301,Mees,Coping on present income,10,10,EE
10,14306,Naine,Coping on present income,5,5,EE
10,14319,Mees,Coping on present income,5,9,EE
10,14338,Naine,Coping on present income,10,10,EE
10,14339,Mees,Coping on present income,4,3,EE
10,14355,Naine,Living comfortably on present income,10,10,EE
10,14357,Naine,Coping on present income,4,3,EE
10,14363,Naine,Living comfortably on present income,7,7,EE
10,14370,Naine,Living comfortably on present income,3,9,EE
10,14372,Naine,Coping on present income,10,10,EE
10,14378,Mees,Coping on present income,6,5,EE
10,14379,Naine,Coping on present income,8,8,EE
10,14383,Naine,Living comfortably on present income,10,10,EE
10,14404,Mees,Coping on present income,10,10,EE
10,14442,Mees,Coping on present income,10,10,EE
10,14446,Naine,Coping on present income,8,7,EE
10,14448,Naine,Living comfortably on present income,7,9,EE
10,14450,Naine,Living comfortably on present income,9,9,EE
10,14456,Mees,Difficult on present income,3,2,EE
10,14457,Mees,Coping on present income,7,10,EE
10,14476,Naine,Coping on present income,9,10,EE
10,14488,Naine,Coping on present income,9,9,EE
10,14489,Naine,Coping on present income,6,5,EE
10,14494,Mees,Living comfortably on present income,2,6,EE
10,14535,Naine,Coping on present income,9,5,EE
10,14553,Naine,Coping on present income,10,10,EE
10,14582,Naine,Coping on present income,9,10,EE
10,14588,Naine,Coping on present income,9,10,EE
10,14598,Naine,Living comfortably on present income,10,10,EE
10,14604,Mees,Coping on present income,7,10,EE
10,14643,Mees,Coping on present income,5,5,EE
10,14649,Mees,Coping on present income,10,10,EE
10,14651,Mees,Coping on present income,5,9,EE
10,14653,Naine,Living comfortably on present income,6,8,EE
10,14669,Naine,Very difficult on present income,7,10,EE
10,14676,Mees,Very difficult on present income,10,10,EE
10,14679,Naine,Living comfortably on present income,6,5,EE
10,14698,Mees,Living comfortably on present income,10,10,EE
10,14704,Mees,Coping on present income,9,4,EE
10,14710,Mees,Coping on present income,7,10,EE
10,14714,Naine,Coping on present income,8,9,EE
10,14720,Mees,Coping on present income,10,10,EE
10,14721,Mees,Difficult on present income,8,8,EE
10,14723,Mees,Living comfortably on present income,2,6,EE
10,14754,Naine,Coping on present income,10,10,EE
10,14769,Mees,Coping on present income,3,7,EE
10,14774,Mees,Living comfortably on present income,10,10,EE
10,14782,Naine,Coping on present income,6,10,EE
10,14783,Mees,Coping on present income,6,6,EE
10,14804,Naine,Coping on present income,10,5,EE
10,14808,Naine,Coping on present income,8,9,EE
10,14812,Mees,Living comfortably on present income,8,8,EE
10,14830,Naine,Coping on present income,8,8,EE
10,14833,Mees,Coping on present income,6,6,EE
10,14858,Naine,Very difficult on present income,10,10,EE
10,14873,Mees,Very difficult on present income,9,9,EE
10,14879,Naine,Coping on present income,10,10,EE
10,14882,Naine,Coping on present income,3,7,EE
10,14899,Naine,Difficult on present income,10,10,EE
10,14921,Naine,Difficult on present income,10,10,EE
10,14934,Mees,Coping on present income,8,10,EE
10,14936,Naine,Difficult on present income,7,10,EE
10,14944,Naine,Coping on present income,7,7,EE
10,14949,Mees,Coping on present income,7,10,EE
10,14976,Naine,Difficult on present income,10,10,EE
10,14988,Naine,Living comfortably on present income,6,5,EE
10,14990,Naine,Coping on present income,5,5,EE
10,14992,Mees,Coping on present income,9,8,EE
10,15005,Naine,Coping on present income,10,10,EE
10,15016,Mees,Very difficult on present income,6,9,EE
10,15030,Naine,Coping on present income,10,10,EE
10,15037,Naine,Coping on present income,5,5,EE
10,15046,Mees,Coping on present income,10,10,EE
10,15062,Mees,Living comfortably on present income,7,10,EE
10,15066,Naine,Difficult on present income,10,10,EE
10,15094,Naine,Living comfortably on present income,5,6,EE
10,15097,Naine,Difficult on present income,9,9,EE
10,15099,Mees,Coping on present income,10,8,EE
10,15117,Naine,Coping on present income,10,10,EE
10,15125,Naine,Difficult on present income,8,7,EE
10,15127,Mees,Coping on present income,10,10,EE
10,15128,Mees,Coping on present income,6,5,EE
10,15134,Naine,Difficult on present income,8,7,EE
10,15185,Naine,Coping on present income,7,7,EE
10,15192,Naine,Coping on present income,8,10,EE
10,15230,Mees,Difficult on present income,10,10,EE
10,15241,Mees,Coping on present income,10,10,EE
10,15242,Mees,Living comfortably on present income,6,6,EE
10,15243,Naine,Coping on present income,5,6,EE
10,15253,Naine,Living comfortably on present income,7,10,EE
10,15275,Naine,Difficult on present income,10,10,EE
10,15282,Mees,Living comfortably on present income,7,7,EE
10,15292,Naine,Coping on present income,10,8,EE
10,15303,Naine,Difficult on present income,10,10,EE
10,15310,Mees,Coping on present income,10,10,EE
10,15311,Naine,Coping on present income,9,10,EE
10,15312,Mees,Living comfortably on present income,10,10,EE
10,15325,Mees,Coping on present income,10,10,EE
10,15327,Naine,Coping on present income,10,10,EE
10,15330,Mees,Coping on present income,7,10,EE
10,15345,Naine,Living comfortably on present income,8,7,EE
10,15349,Mees,Coping on present income,10,10,EE
10,15353,Mees,Living comfortably on present income,10,10,EE
10,15373,Mees,Living comfortably on present income,9,8,EE
10,15394,Naine,Coping on present income,7,7,EE
10,15412,Mees,Coping on present income,10,10,EE
10,15440,Mees,Coping on present income,5,10,EE
10,15446,Mees,Coping on present income,4,3,EE
10,15450,Naine,Living comfortably on present income,9,9,EE
10,15457,Mees,Coping on present income,10,10,EE
10,15470,Naine,Coping on present income,9,9,EE
10,15473,Naine,Coping on present income,10,10,EE
10,15480,Naine,Living comfortably on present income,8,9,EE
10,15567,Naine,Coping on present income,9,9,EE
10,15578,Naine,Coping on present income,9,9,EE
10,15579,Mees,Living comfortably on present income,2,2,EE
10,15586,Mees,Coping on present income,5,5,EE
10,15590,Mees,Coping on present income,7,9,EE
10,15593,Naine,Living comfortably on present income,9,9,EE
10,15617,Naine,Coping on present income,10,10,EE
10,15622,Naine,Coping on present income,8,8,EE
10,15631,Mees,Coping on present income,3,3,EE
10,15639,Naine,Coping on present income,NA,10,EE
10,15647,Naine,Coping on present income,7,3,EE
10,15654,Mees,Coping on present income,7,7,EE
10,15671,Naine,Difficult on present income,8,8,EE
10,15674,Naine,Living comfortably on present income,8,10,EE
10,15677,Naine,Coping on present income,8,8,EE
10,15707,Mees,Coping on present income,7,10,EE
10,15713,Mees,Living comfortably on present income,5,5,EE
10,15725,Mees,Coping on present income,8,8,EE
10,15788,Naine,Difficult on present income,10,10,EE
10,15798,Mees,Coping on present income,6,4,EE
10,15831,Mees,Coping on present income,10,10,EE
10,15862,Naine,Coping on present income,5,5,EE
10,15863,Mees,Coping on present income,8,7,EE
10,15880,Mees,Coping on present income,8,8,EE
10,15885,Mees,Difficult on present income,10,10,EE
10,15909,Mees,Coping on present income,10,10,EE
10,15912,Mees,Coping on present income,9,9,EE
10,15932,Naine,Coping on present income,6,9,EE
10,15943,Mees,Coping on present income,10,10,EE
10,15955,Naine,Living comfortably on present income,7,5,EE
10,15964,Naine,Very difficult on present income,10,10,EE
